,titulo,preco_original,desconto_percentual,preco_com_desconto,quantidade_vendida,marca,material,genero,temporada,nota_satisfacao,quantidade_avaliações
147,Calça Jeans Levis 511 Original Slim Fit Elastano,R$ 339.00,0%,R$ 339.00,100,Levi's,Algodao/Elastano,Masculino,Outono/Inverno,3.1,14
148,Calça Levis Jeans Masculina Tradicional Elastano C Baixa 514,R$ 309.00,0%,R$ 309.00,500,Levi's,Algodão e Elastano,Masculino,Outono/Inverno,3.1,52
149,Calça Levis Jeans Masculina Tradicional Elastano C Baixa 514,R$ 309.00,0%,R$ 309.00,50,Levi's,Algodão e Elastano,Masculino,Outono/Inverno,3.1,12
150,Calça Jeans Levis 511 Original Slim Fit Elastano,R$ 339.00,0%,R$ 339.00,5,Levi's,Algodao/Elastano,Masculino,Outono/Inverno,4.1,3
151,Calça Levi's 511 Slim Original Masculina,R$ 314.99,0%,R$ 314.99,500,Levi's,Algodão,Masculino,Primavera/Verão,3.1,109
152,Calça Jeans Levis 501 Original Masculina Tradicional 115,R$ 319.00,0%,R$ 319.00,100,Levi's,Algodão,Masculino,Outono/Inverno,3.1,61
153,Calça Levi's 501 Original Masculina 100% Algodão Importada,R$ 330.86,5%,R$ 315.10,100,Levi's,Algodão,Masculino,Primavera/Verão,3.1,28
154,Calça Levis 501 Original Tradicional Masculina 100% Algodão,R$ 334.99,0%,R$ 334.99,100,Levi's,Algodão,Masculino,Primavera/Verão,3.1,29
155,Calça Levi´s 505 Com Elastano Lb5050008,R$ 299.90,0%,R$ 299.90,50,Levi's,ALGODÃO COM ELASTANO,Masculino,Primavera/Verão,3.1,7
156,Calça Levis Jeans 505 Azul Escuro,R$ 369.99,0%,R$ 369.99,100,Levi's,100% algodão,Masculino,Outono/Inverno,4.8,32
157,Calça Levis Jeans 511 Slim Masculino Cintura Media Elastano,R$ 299.00,0%,R$ 299.00,50,Levi's,Algodão/Elastano,Masculino,Primavera/Verão,3.1,8
158,Calça Levis Jeans 511 Slim Masculino Cintura Media Elastano,R$ 309.00,0%,R$ 309.00,500,Levi's,Algodão/Elastano,Masculino,Primavera/Verão,4.4,60
159,Calça Jeans Levis 505 Tradicional Elastano Loja Aurorizada,R$ 299.00,0%,R$ 299.00,3,Levi's,Algodao /Elastano,Masculino,Primavera/Verão,Sem avaliação,0
160,Calça Levi's 505 Masculina Sarja Com Elastano - Cor Preta,R$ 319.00,0%,R$ 319.00,50,Levi's,Sarja,Masculino,Outono/Inverno,3.1,7
161,Calça Levis 511 Slim Original Masculina Importada Lançamento,R$ 369.99,0%,R$ 369.99,100,Levi's,Algodão,Masculino,Primavera/Verão,3.1,18
162,Calça Levis Jeans Feminina Super Skinny 720 Elastano C. Alta,R$ 339.00,0%,R$ 339.00,50,Levi's,Algodão/Elastano,Feminino,Primavera/Verão,4.9,8
163,Calça Levis 505 Original 100% Algodão Revendedor Autorizado,R$ 342.88,5%,R$ 326.55,100,Levi's,Algodão,Masculino,Outono/Inverno,4.5,25
164,Calça Masculina Levis Jeans Azul 505 Escuro Ref:lb5050008,R$ 319.29,0%,R$ 319.29,3,Levi's,Algodão,Masculino,Primavera/Verão,Sem avaliação,0
165,Calça Levi's 511 Masculina Sarja Com Elastano - Preta,R$ 367.90,0%,R$ 367.90,100,Levi's,Algodão,Masculino,Outono/Inverno,4.3,15
166,Calça Levi´s 511 Slim Com Elastano Ref Lb5110018,R$ 318.90,0%,R$ 318.90,100,Levi's,Algodão com elastano,Masculino,Outono/Inverno,4.5,14
167,Blusa De Moletom Las Vegas Raiders New Era Nfl Masculino Com,R$ 482.79,42%,R$ 339.99,1,New Era,N/A,Masculino,Outono/Inverno,Sem avaliação,0
168,Short Essential 9 Masculino Olympikus Novo,R$ 145.75,22%,R$ 119.47,50,Olympikus,Poliéster,Masculino,Primavera/Verão,3.1,16
169,Short Essential 5 Masculina Olympikus,R$ 174.31,59%,R$ 109.63,25,Olympikus,Poliéster,Masculino,Primavera/Verão,2.1,6
170,Bermuda Olympikus Essential 9 Preta,R$ 78.99,0%,R$ 78.99,5,Olympikus,Poliéster,Masculino,Primavera/Verão,Sem avaliação,0
171,Short Essential Feminino Olympikus,R$ 133.33,22%,R$ 109.29,25,Olympikus,Poliéster,Feminino,Primavera/Verão,5,3
172,Short Casual Feminino Olympikus Oferta,R$ 215.99,44%,R$ 149.99,25,Olympikus,Poliéster,Feminino,Primavera/Verão,4.5,4
173,Bermuda Feminina Puma Lemlem Bike,R$ 209.99,0%,R$ 209.99,0,Puma,Poliamida,Feminino,Outono/Inverno,Sem avaliação,0
174,Kit 4 Cuecas Boxer Puma Masculina Box Sem Costura Original,R$ 191.46,19%,R$ 160.89,1000,Puma,Poliamida,Masculino,Outono/Inverno,3.1,301
175,Bermuda Masculina Puma Active Woven 5,R$ 99.99,0%,R$ 99.99,5,Puma,Poliéster,Masculino,Outono/Inverno,Sem avaliação,0
176,Bermuda De Moletom Puma Essentials 10 - Masculina,R$ 188.99,26%,R$ 149.99,3,Puma,Algodão,Masculino,Outono/Inverno,Sem avaliação,0
177,Bermuda Under Armour Woven Graphic Preto Vermelho,R$ 199.99,0%,R$ 199.99,1,Under Armour,Poliéster,Masculino,Primavera/Verão,Sem avaliação,0
178,Calça Capri Under Armour Heat Gear Hi Feminina Preta,R$ 218.00,0%,R$ 218.00,1,Under Armour,Poliéster,Feminino,Outono/Inverno,Sem avaliação,0
179,Bermuda Under Armour Tech Mesh Azul,R$ 119.90,0%,R$ 119.90,1,Under Armour,Poliéster,Masculino,Outono/Inverno,Sem avaliação,0
180,Short De Treino Launch 7 Masculina Under Armour Novo,R$ 323.99,20%,R$ 269.99,5,Under Armour,Poliéster,Masculino,Outono/Inverno,Sem avaliação,0
